Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
60,60,2006-03-08,,WAS,W,118,112,39,75,.520,9,22,.409,31,41,.756,10,38,22,6,5,13,24
61,61,2006-03-10,,GSW,L,106,111,40,77,.519,8,24,.333,18,26,.692,9,39,21,5,6,16,26
62,62,2006-03-12,,CLE,W,98,92,34,78,.436,6,17,.353,24,33,.727,13,45,19,4,3,15,28
63,63,2006-03-14,,UTA,W,121,83,36,63,.571,7,18,.389,42,48,.875,8,50,20,8,9,17,19
64,64,2006-03-16,,BOS,W,107,104,41,75,.547,7,18,.389,18,32,.563,8,37,17,7,4,15,15
65,65,2006-03-18,@,CHI,W,85,84,23,71,.324,10,24,.417,29,38,.763,9,45,18,8,9,23,19
66,66,2006-03-19,@,NYK,W,111,100,40,74,.541,9,21,.429,22,34,.647,6,38,26,9,9,9,22
67,67,2006-03-21,@,MIN,L,96,100,31,76,.408,6,22,.273,28,36,.778,14,41,18,5,3,16,23
68,68,2006-03-22,@,DET,L,73,82,28,74,.378,7,17,.412,10,14,.714,10,47,21,4,3,16,23
69,69,2006-03-24,,CHA,W,114,93,45,78,.577,3,9,.333,21,27,.778,11,47,31,11,4,14,17
70,70,2006-03-27,,IND,W,96,91,36,83,.434,2,14,.143,22,28,.786,18,53,9,7,3,13,19
71,71,2006-03-29,@,TOR,W,98,94,34,81,.420,4,17,.235,26,32,.813,15,51,13,4,2,16,15
72,72,2006-04-01,@,CLE,L,99,106,39,83,.470,3,16,.188,18,21,.857,10,36,19,5,2,10,24
73,73,2006-04-02,@,NJN,L,78,90,31,75,.413,2,12,.167,14,25,.560,11,48,19,6,3,15,22
74,74,2006-04-04,,MIL,W,115,89,45,73,.616,5,10,.500,20,33,.606,7,44,25,8,5,16,24
75,75,2006-04-06,,DET,L,82,95,33,74,.446,0,10,.000,16,26,.615,11,40,16,3,2,11,20
76,76,2006-04-08,@,WAS,W,99,86,38,82,.463,7,22,.318,16,21,.762,12,46,28,11,5,19,29
77,77,2006-04-09,,ORL,L,84,93,33,66,.500,2,9,.222,16,23,.696,8,37,18,6,5,20,25
78,78,2006-04-11,,TOR,W,106,97,42,80,.525,6,17,.353,16,23,.696,11,44,26,4,3,9,21
79,79,2006-04-14,,PHI,W,104,85,40,76,.526,2,12,.167,22,29,.759,12,42,19,12,4,19,23
80,80,2006-04-16,,CHI,L,93,117,32,76,.421,6,14,.429,23,27,.852,9,35,13,6,4,16,25
81,81,2006-04-18,@,ATL,L,100,103,42,84,.500,6,19,.316,10,14,.714,8,41,25,3,4,11,20
82,82,2006-04-19,@,BOS,L,78,85,23,71,.324,5,13,.385,27,37,.730,7,42,12,9,3,15,23
