Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
52,52,2016-02-10,,LAL,W,120,111,48,94,.511,13,31,.419,11,18,.611,13,46,26,6,1,7,20
53,53,2016-02-18,,CHI,W,106,95,42,91,.462,7,24,.292,15,17,.882,11,52,21,8,8,11,22
54,54,2016-02-21,@,OKC,W,115,92,41,80,.513,10,23,.435,23,27,.852,13,49,25,4,1,13,21
55,55,2016-02-22,,DET,L,88,96,34,79,.430,8,26,.308,12,13,.923,5,40,19,8,2,18,21
56,56,2016-02-24,,CHO,W,114,103,45,91,.495,13,32,.406,11,17,.647,12,47,26,11,1,9,20
57,57,2016-02-26,@,TOR,L,97,99,35,74,.473,12,24,.500,15,21,.714,10,39,21,4,0,14,26
58,58,2016-02-28,@,WAS,L,99,113,32,80,.400,9,29,.310,26,30,.867,6,39,20,6,2,14,26
59,59,2016-02-29,,IND,W,100,96,35,83,.422,9,29,.310,21,25,.840,9,40,22,4,2,13,15
60,60,2016-03-04,,WAS,W,108,83,42,90,.467,12,27,.444,12,16,.750,8,47,24,9,5,9,19
61,61,2016-03-05,,BOS,W,120,103,42,82,.512,10,30,.333,26,34,.765,15,47,27,8,4,15,21
62,62,2016-03-07,,MEM,L,103,106,36,80,.450,7,29,.241,24,29,.828,13,49,23,9,7,25,22
63,63,2016-03-09,@,SAC,W,120,111,39,90,.433,13,44,.295,29,35,.829,15,51,17,5,1,14,21
64,64,2016-03-10,@,LAL,W,120,108,45,85,.529,16,35,.457,14,20,.700,9,38,22,4,6,8,20
65,65,2016-03-13,@,LAC,W,114,90,41,84,.488,18,37,.486,14,20,.700,9,49,23,3,4,10,19
66,66,2016-03-14,@,UTA,L,85,94,35,88,.398,10,43,.233,5,8,.625,13,39,18,6,3,8,16
67,67,2016-03-16,,DAL,W,99,98,39,88,.443,10,37,.270,11,13,.846,13,48,21,9,4,16,19
68,68,2016-03-18,@,ORL,W,109,103,38,76,.500,13,28,.464,20,27,.741,9,41,23,7,4,19,21
69,69,2016-03-19,@,MIA,L,101,122,40,76,.526,10,24,.417,11,13,.846,3,26,19,6,3,14,22
70,70,2016-03-21,,DEN,W,124,91,48,86,.558,15,31,.484,13,17,.765,8,43,38,10,4,13,19
71,71,2016-03-23,,MIL,W,113,104,40,83,.482,10,34,.294,23,27,.852,17,42,29,6,8,15,17
72,72,2016-03-24,@,BRK,L,95,104,39,89,.438,10,38,.263,7,9,.778,11,45,22,3,2,15,20
73,73,2016-03-26,@,NYK,W,107,93,37,83,.446,14,34,.412,19,25,.760,15,53,21,6,5,11,23
74,74,2016-03-29,,HOU,L,100,106,31,86,.360,14,40,.350,24,28,.857,10,38,21,5,5,13,31
75,75,2016-03-31,,BRK,W,107,87,38,87,.437,12,38,.316,19,24,.792,9,50,29,10,7,17,17
76,76,2016-04-01,@,ATL,W,110,108,39,98,.398,12,38,.316,20,31,.645,11,57,27,9,6,12,23
77,77,2016-04-03,,CHO,W,112,103,45,83,.542,16,29,.552,6,13,.462,15,46,34,7,1,17,19
78,78,2016-04-05,@,MIL,W,109,80,41,75,.547,18,36,.500,9,10,.900,2,41,30,4,8,16,14
79,79,2016-04-06,@,IND,L,109,123,35,74,.473,8,29,.276,31,34,.912,7,33,15,7,3,10,19
80,80,2016-04-09,@,CHI,L,102,105,36,83,.434,19,40,.475,11,18,.611,12,42,24,5,5,16,18
81,81,2016-04-11,,ATL,W,109,94,40,83,.482,11,29,.379,18,20,.900,9,47,17,9,4,15,14
82,82,2016-04-13,,DET,L,110,112,46,97,.474,7,18,.389,11,15,.733,8,43,21,4,7,10,23
