Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
33,33,2016-01-06,@,WAS,W,121,115,48,89,.539,12,29,.414,13,19,.684,13,44,16,9,3,12,20
34,34,2016-01-08,@,MIN,W,125,99,43,81,.531,13,27,.481,26,29,.897,10,43,23,8,5,12,19
35,35,2016-01-10,@,PHI,W,95,85,35,90,.389,9,32,.281,16,23,.696,13,51,20,9,2,11,16
36,36,2016-01-12,@,DAL,W,110,107,40,97,.412,17,44,.386,13,16,.813,17,46,28,12,4,10,21
37,37,2016-01-14,@,SAS,L,95,99,38,82,.463,10,26,.385,9,11,.818,9,43,15,4,2,18,23
38,38,2016-01-15,@,HOU,W,91,77,34,87,.391,8,35,.229,15,23,.652,17,49,19,10,6,15,24
39,39,2016-01-18,,GSW,L,98,132,37,77,.481,7,19,.368,17,25,.680,8,36,22,3,4,16,25
40,40,2016-01-20,@,BRK,W,91,78,36,77,.468,5,17,.294,14,20,.700,6,45,15,6,3,13,13
41,41,2016-01-21,,LAC,W,115,102,42,83,.506,13,28,.464,18,24,.750,14,47,29,5,2,15,31
42,42,2016-01-23,,CHI,L,83,96,35,94,.372,4,24,.167,9,22,.409,16,48,17,5,5,4,18
43,43,2016-01-25,,MIN,W,114,107,45,89,.506,11,31,.355,13,20,.650,12,43,30,7,3,15,18
44,44,2016-01-27,,PHO,W,115,93,45,81,.556,11,28,.393,14,16,.875,10,37,34,12,3,15,17
45,45,2016-01-29,@,DET,W,114,106,39,83,.470,9,23,.391,27,29,.931,10,47,20,4,1,8,25
46,46,2016-01-30,,SAS,W,117,103,45,82,.549,9,23,.391,18,21,.857,10,43,24,4,4,10,21
47,47,2016-02-01,@,IND,W,111,106,44,88,.500,7,22,.318,16,23,.696,10,45,22,8,3,16,19
48,48,2016-02-03,@,CHO,L,97,106,38,83,.458,10,28,.357,11,14,.786,3,28,16,9,5,8,19
49,49,2016-02-05,,BOS,L,103,104,37,87,.425,8,30,.267,21,35,.600,15,47,21,8,6,15,25
50,50,2016-02-06,,NOP,W,99,84,39,90,.433,14,41,.341,7,7,1.000,10,49,21,6,6,14,17
51,51,2016-02-08,,SAC,W,120,100,45,94,.479,16,35,.457,14,19,.737,12,53,27,7,5,14,25
